Ticket no. +,Information Source,Condition Code,Condition Code Priority,Time Remaining ( Minutes ),Priority+,VTS Customer Type,Serv. Level,First_Accepted_User,Reporting Organization +,Destination Country+,LCR Destination,Fault Start Date (UTC)+,Last-modified-by,Fault Category,Fault Symptom,Support Group,User,Fault Summary,Carrier Ticket No,Fault Organization Name +,Rep. Org. Abbr.+,Ref. Report Org. No.
NET01762952,Complaint,Impaired,P1,0,999,Mobile,Preferred,,ARGON TELECOM SERVICES LIMITED,BANGLADESH,BANGLADESH - GRAMEEN PHONE MOBILE ,13/06/2017 15:55,REGP System,QUALITY,CLI,GNMCFMGT,,,,,AVENC,x
NET01762957,Complaint,Impaired,,30,925,Carrier,Blocked,,RETARUS GMBH,SINGAPORE,SINGAPORE - OTHER,13/06/2017 16:07,PRAHANE,QUALITY,CLI,GNMCFMGT,,,,,RETAR,x
NET01764386,Complaint,Impaired,,0,999,OTT,Blocked,,JOIN LIMITED,SINGAPORE,CHINA - OTHER,15/06/2017 14:40,PRAHANE,COMPL- SAP,CAN'T REACH,GNMCFMGT,,,,,JENMI,x
NET01764615,Complaint,Impaired,,0,999,Carrier,Preferred,,LOCAL EXCHANGE GLOBAL OPERATION SERVICES SAS,MARTINIQUE,MARTINIQUE - MOBILE,15/06/2017 18:28,VPATHAK,COMPL- SNP,WRONG NO,GNMCFMGT,,,,,LRECS,X
NET01764661,Complaint,Impaired,P4,0,570,,Prime,,JOIN LIMITED,NEW ZEALAND,NEW ZEALAND - OTHER,15/06/2017 19:50,AR_ESCALATOR,COMPL- SNP,DEAD AIR,GNMCFMGT,,,,,RTREA,5871538
NET01764675,Complaint,Impaired,P1,0,999,,Preferred,,VENTATEL LIMITED ,MAURITANIA,MAURITANIA - MAURITEL MOBILE,15/06/2017 20:17,AR_ESCALATOR,COMPL- ASR,LOW ASR,GNMCFMGT,,,,,LCLEL,#ETS#20170615677
NET01764717,Complaint,Impaired,,0,999,Carrier,Blocked,,LEXICO TELECOM LIMITED,INDIA,INDIA - AIRCEL N9Y1 MOBILE,15/06/2017 21:41,REGP System,QUALITY,SUPERVISION,GNMCFMGT,,,,,LOECC,LEX#247363
NET01764909,Complaint,Impaired,,0,999,,Blocked,,CLARITY NETWORKS PTY LTD,CHINA,CHINA - OTHER,16/06/2017 5:26,AR_ESCALATOR,COMPL- SAP,CAN'T REACH,GNMCFMGT,,,,,CPTSS,x
NET01764870,Complaint,Impaired,P3,9,720,RSP & Hybrid,Prime,,VERIZON UK LIMITED,INDONESIA,INDONESIA - INDOSAT MOBILE,16/06/2017 2:57,AR_ESCALATOR,COMPL- SAP,CAN'T REACH,GNMCFMGT,,,,,WCM,2.02E+12
NET01764995,Complaint,Impaired,P2,1053,500,Carrier,Prime,,PROGRESSIVE TELECOM LLC,PAPUA N.G.,INDIA - OTHER MMB1 MOBILE,16/06/2017 11:36,REGP System,QUALITY,CLI,GNMCFMGT,,,,,PROGT,NOC10796
